parameter	mean (DENV-2)	sd (DENV-2)	hdi_3% (DENV-2)	hdi_97% (DENV-2)	r_hat (DENV-2)	mean (YFV)	sd (YFV)	hdi_3% (YFV)	hdi_97% (YFV)	r_hat (YFV)	mean (WNV)	sd (WNV)	hdi_3% (WNV)	hdi_97% (WNV)	r_hat (WNV)	mean (MeV)	sd (MeV)	hdi_3% (MeV)	hdi_97% (MeV)	r_hat (MeV)	mean (MuV)	sd (MuV)	hdi_3% (MuV)	hdi_97% (MuV)	r_hat (MuV)	mean (PIV-1)	sd (PIV-1)	hdi_3% (PIV-1)	hdi_97% (PIV-1)	r_hat (PIV-1)	mean (PIV-2)	sd (PIV-2)	hdi_3% (PIV-2)	hdi_97% (PIV-2)	r_hat (PIV-2)	mean (CHIKV)	sd (CHIKV)	hdi_3% (CHIKV)	hdi_97% (CHIKV)	r_hat (CHIKV)	mean (VEEV)	sd (VEEV)	hdi_3% (VEEV)	hdi_97% (VEEV)	r_hat (VEEV)	mean (hCoV-229E)	sd (hCoV-229E)	hdi_3% (hCoV-229E)	hdi_97% (hCoV-229E)	r_hat (hCoV-229E)	mean (SARS-CoV)	sd (SARS-CoV)	hdi_3% (SARS-CoV)	hdi_97% (SARS-CoV)	r_hat (SARS-CoV)	mean (RVFV)	sd (RVFV)	hdi_3% (RVFV)	hdi_97% (RVFV)	r_hat (RVFV)	mean (RSV)	sd (RSV)	hdi_3% (RSV)	hdi_97% (RSV)	r_hat (RSV)
Intercept	-3.14	0.38	-3.86	-2.42	1.00	-2.84	0.37	-3.53	-2.14	1.00	-3.82	0.45	-4.68	-2.98	1.00	-3.25	0.41	-4.02	-2.48	1.00	-1.87	0.30	-2.47	-1.32	1.00	-2.45	0.33	-3.06	-1.81	1.00	-2.19	0.33	-2.82	-1.60	1.00	-2.33	0.47	-3.22	-1.46	1.00	-2.68	0.52	-3.68	-1.73	1.00	-1.97	0.39	-2.69	-1.23	1.00	-2.61	0.41	-3.40	-1.88	1.00	-2.72	0.45	-3.55	-1.86	1.00	-2.68	0.40	-3.46	-1.94	1.00
Yangochiroptera	-0.73	0.33	-1.35	-0.11	1.00	-0.75	0.33	-1.37	-0.15	1.00	-0.48	0.37	-1.17	0.24	1.00	0.66	0.27	0.16	1.18	1.00	-0.26	0.26	-0.77	0.21	1.00	0.53	0.26	0.05	1.02	1.00	-0.10	0.27	-0.61	0.42	1.00	-0.59	0.39	-1.31	0.14	1.00	-0.28	0.41	-1.02	0.53	1.00	-0.51	0.34	-1.17	0.11	1.00	-0.31	0.33	-0.90	0.32	1.00	-0.52	0.37	-1.24	0.17	1.00	-0.10	0.33	-0.70	0.52	1.00
Migratory	0.44	0.32	-0.16	1.04	1.00	0.42	0.31	-0.18	1.00	1.00	0.32	0.36	-0.40	0.98	1.00	0.34	0.30	-0.21	0.91	1.00	0.61	0.26	0.11	1.09	1.00	0.76	0.29	0.23	1.31	1.00	0.67	0.28	0.15	1.21	1.00	-0.20	0.36	-0.89	0.48	1.00	0.24	0.40	-0.51	0.98	1.00	-0.37	0.30	-0.92	0.21	1.00	0.52	0.33	-0.10	1.13	1.00	-0.01	0.35	-0.67	0.65	1.00	0.69	0.34	0.07	1.33	1.00
Insectivorous	-1.14	0.24	-1.59	-0.68	1.00	-1.17	0.24	-1.63	-0.71	1.00	-1.60	0.29	-2.15	-1.07	1.00	0.24	0.28	-0.27	0.78	1.00	-1.48	0.22	-1.89	-1.05	1.00	-0.69	0.24	-1.14	-0.23	1.00	-2.12	0.26	-2.61	-1.65	1.00	-0.45	0.37	-1.16	0.24	1.00	-0.40	0.41	-1.19	0.35	1.00	0.99	0.30	0.44	1.57	1.00	0.48	0.29	-0.07	1.01	1.00	-0.32	0.32	-0.95	0.27	1.00	-0.84	0.28	-1.36	-0.31	1.00
Cave-dwelling	0.79	0.20	0.42	1.17	1.00	0.53	0.19	0.17	0.90	1.00	0.70	0.21	0.33	1.11	1.00	0.33	0.27	-0.16	0.84	1.00	0.90	0.18	0.56	1.26	1.00	-0.24	0.18	-0.58	0.10	1.00	1.04	0.23	0.62	1.49	1.00	-0.88	0.31	-1.47	-0.28	1.00	-0.53	0.40	-1.28	0.22	1.00	-0.01	0.31	-0.62	0.56	1.00	-0.26	0.26	-0.78	0.21	1.00	-0.05	0.27	-0.56	0.45	1.00	0.25	0.22	-0.16	0.66	1.00
Log colony size (5 log units)	1.55	0.11	1.34	1.75	1.00	1.46	0.10	1.27	1.66	1.00	1.61	0.12	1.39	1.84	1.00	-0.40	0.20	-0.78	-0.04	1.00	0.82	0.09	0.65	0.98	1.00	0.18	0.09	0.02	0.34	1.00	1.24	0.11	1.03	1.44	1.00	-0.50	0.18	-0.85	-0.19	1.00	-1.69	0.42	-2.47	-0.90	1.00	-0.51	0.25	-0.98	-0.06	1.00	-0.30	0.15	-0.58	-0.01	1.00	-0.12	0.16	-0.43	0.18	1.00	-0.33	0.13	-0.58	-0.08	1.00
Adult	0.41	0.19	0.06	0.76	1.00	0.35	0.18	-0.00	0.69	1.00	0.29	0.20	-0.09	0.68	1.00	0.45	0.27	-0.04	0.97	1.00	0.31	0.16	0.00	0.62	1.00	0.48	0.19	0.12	0.83	1.00	0.39	0.18	0.06	0.74	1.00	0.45	0.29	-0.06	1.05	1.00	0.48	0.32	-0.13	1.07	1.00	-0.36	0.25	-0.83	0.11	1.00	0.07	0.24	-0.37	0.52	1.00	0.17	0.27	-0.34	0.68	1.00	0.39	0.23	-0.03	0.82	1.00
Male	0.11	0.16	-0.19	0.43	1.00	0.09	0.16	-0.21	0.38	1.00	0.11	0.18	-0.23	0.45	1.00	0.43	0.22	0.02	0.84	1.00	-0.06	0.14	-0.32	0.21	1.00	0.10	0.15	-0.17	0.40	1.00	-0.05	0.15	-0.34	0.24	1.00	0.34	0.24	-0.10	0.79	1.00	0.52	0.26	0.04	1.01	1.00	0.07	0.24	-0.36	0.53	1.00	-0.02	0.21	-0.42	0.37	1.00	0.10	0.24	-0.34	0.54	1.00	0.15	0.18	-0.20	0.49	1.00
